date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:39	11695/11695	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:21:37%20GMT	http://www.cheemafarm.co.in/enquiry-form-10019.htm?product_slno=2899669	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/enquiry-form-1001902f5.html	(from http://www.cheemafarm.co.in/live-kadaknath-chicken.htm)
20:51:39	11687/11687	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:21:37%20GMT	http://www.cheemafarm.co.in/enquiry-form-10019.htm?product_slno=2899670	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/enquiry-form-10019a4ad.html	(from http://www.cheemafarm.co.in/live-country-chicken.htm)
20:51:40	11699/11699	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:21:39%20GMT	http://www.cheemafarm.co.in/enquiry-form-10019.htm?product_slno=2899671	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/enquiry-form-10019a8c3.html	(from http://www.cheemafarm.co.in/live-ameraucana-chicken.htm)
20:51:40	30341/30341	---M--	200	added ('OK')	image/jpeg	etag:%227685-5c052a9776d1f%22	https://2.wlimg.com/product_images/bc-full/2021/4/5914120/poultry-vaccination-service-1618836146-5789954.jpeg	C:/My%20Web%20Sites/WEBSITE1234/2.wlimg.com/product_images/bc-full/2021/4/5914120/poultry-vaccination-service-1618836146-5789954.jpg	(from http://www.cheemafarm.co.in/poultry-vaccination-service.htm)
20:51:53	73974/73974	---M--	200	added ('OK')	image/jpeg	etag:%22120f6-5bf372e35e965%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25503_20210405160002.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25503_20210405160002.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
20:51:54	93102/93102	---M--	200	added ('OK')	image/jpeg	etag:%2216bae-5bf372df06487%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25502_20210405155958.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25502_20210405155958.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
20:51:58	127940/127940	---M--	200	added ('OK')	image/jpeg	etag:%221f3c4-5bf372d72fb12%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25500_20210405155950.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25500_20210405155950.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
20:52:02	63541/63541	---M--	200	added ('OK')	image/jpeg	etag:%22f835-5bf372ec11261%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25505_20210405160012.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25505_20210405160012.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
20:52:04	73972/73972	---M--	200	added ('OK')	image/jpeg	etag:%22120f4-5bf372e7ea293%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25504_20210405160007.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25504_20210405160007.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
20:52:09	74885/74885	---M--	200	added ('OK')	image/jpeg	etag:%2212485-5bf372f4af725%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25507_20210405160021.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25507_20210405160021.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
